#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 02 06 08 00 310 14.0 18.0   4.5     9    MM  MM 1015.4    MM   4.1    MM   MM +8.0    MM
2016 02 06 07 00 310 15.0 17.0   5.1     9    MM  MM 1013.4    MM   4.1    MM   MM +9.3    MM
2016 02 06 06 00 310 16.0 21.0   4.6    10    MM  MM 1010.8    MM   4.5    MM   MM +9.7    MM
2016 02 06 05 00 310 17.0 22.0   4.5    10    MM  MM 1007.4    MM   5.4    MM   MM +8.6    MM
2016 02 06 04 00 300 18.0 22.0   4.2     9    MM  MM 1004.1    MM   5.5    MM   MM +4.9    MM
2016 02 06 03 00 270 16.0 20.0   4.1     9    MM  MM 1001.1    MM   5.2    MM   MM +1.6    MM
2016 02 06 02 00 210  8.0 10.0   4.1     9    MM  MM  998.8    MM   5.9    MM   MM -2.4    MM
2016 02 06 01 00 210 11.0 14.0   4.0     9    MM  MM  999.2    MM   6.0    MM   MM -3.6    MM
2016 02 06 00 00 180 13.0 16.0   3.5    10    MM  MM  999.5    MM   5.5    MM   MM -5.3    MM
2016 02 05 23 00 180 13.0 15.0   3.1     9    MM  MM 1001.2    MM   5.3    MM   MM -4.9    MM
2016 02 05 22 00 180 11.0 14.0   2.9     8    MM  MM 1002.8    MM   5.4    MM   MM -4.4    MM
2016 02 05 21 00 180 11.0 13.0   2.9    10    MM  MM 1004.8    MM   5.8    MM   MM -4.0    MM
2016 02 05 20 00 180 11.0 13.0   3.0     9    MM  MM 1006.1    MM   6.3    MM   MM -4.4    MM
2016 02 05 19 00 180 10.0 12.0   2.7    10    MM  MM 1007.2    MM   6.2    MM   MM -5.2    MM
2016 02 05 18 00 180 10.0 12.0   3.0     9    MM  MM 1008.8    MM   6.5    MM   MM -4.9    MM
2016 02 05 17 00 180  9.0 11.0   2.8    10    MM  MM 1010.5    MM   6.7    MM   MM -3.7    MM
2016 02 05 16 00 190  9.0 11.0   2.9     9    MM  MM 1012.4    MM   6.6    MM   MM -2.2    MM
2016 02 05 15 00 190  9.0 10.0   3.0    10    MM  MM 1013.7    MM   6.4    MM   MM -1.4    MM
2016 02 05 14 00 190 10.0 12.0   2.9    10    MM  MM 1014.2    MM   6.5    MM   MM -1.1    MM
2016 02 05 13 00 190  9.0 11.0   3.1    10    MM  MM 1014.6    MM   6.4    MM   MM -1.2    MM
2016 02 05 12 00 200  7.0  9.0   2.8     9    MM  MM 1015.1    MM   6.6    MM   MM -1.2    MM
2016 02 05 11 00 190  5.0  6.0   2.9     9    MM  MM 1015.3    MM   6.9    MM   MM -1.3    MM
2016 02 05 10 00 160  3.0  5.0   3.1     9    MM  MM 1015.8    MM   6.9    MM   MM -1.6    MM
2016 02 05 09 00 120  3.0  4.0   2.5     9    MM  MM 1016.3    MM   6.9    MM   MM -1.1    MM
2016 02 05 08 00 110  4.0  5.0   2.8     9    MM  MM 1016.6    MM   6.8    MM   MM -0.7    MM
2016 02 05 07 00 340  2.0  3.0   2.6     8    MM  MM 1017.4    MM   6.6    MM   MM -0.3    MM
2016 02 05 06 00 290  4.0  5.0   2.7     8    MM  MM 1017.4    MM   6.4    MM   MM -0.7    MM
2016 02 05 05 00 230  3.0  4.0   2.5     8    MM  MM 1017.3    MM   6.5    MM   MM -0.5    MM
2016 02 05 04 00 240  5.0  6.0   2.5     9    MM  MM 1017.7    MM   6.5    MM   MM +0.3    MM
2016 02 05 03 00 240  6.0  8.0   2.7     8    MM  MM 1018.1    MM   6.5    MM   MM +0.9    MM
2016 02 05 02 00 220  4.0  6.0   2.7     8    MM  MM 1017.8    MM   6.5    MM   MM +0.6    MM
2016 02 05 01 00 230  5.0  6.0   2.6     8    MM  MM 1017.4    MM   6.5    MM   MM +0.6    MM
2016 02 05 00 00 210  8.0  9.0   2.6     8    MM  MM 1017.2    MM   6.6    MM   MM +0.4    MM
2016 02 04 23 00 210 10.0 12.0   2.9     8    MM  MM 1017.2    MM   6.7    MM   MM +0.3    MM
2016 02 04 22 00 200 10.0 13.0   3.0     8    MM  MM 1016.8    MM   6.6    MM   MM -0.3    MM
2016 02 04 21 00 200 11.0 14.0   3.3     8    MM  MM 1016.8    MM   6.6    MM   MM -0.7    MM
2016 02 04 20 00 200 10.0 12.0   3.3     8    MM  MM 1016.9    MM   6.6    MM   MM -1.2    MM
2016 02 04 19 00 200  9.0 10.0   3.0     8    MM  MM 1017.1    MM   6.4    MM   MM -1.8    MM
2016 02 04 18 00 200  9.0 10.0   3.1     8    MM  MM 1017.5    MM   6.3    MM   MM -2.1    MM
2016 02 04 17 00 200 10.0 12.0   2.8     8    MM  MM 1018.1    MM   6.3    MM   MM -1.6    MM
2016 02 04 16 00 200 10.0 12.0   3.0     8    MM  MM 1018.9    MM   6.3    MM   MM -0.8    MM
2016 02 04 15 00 190 10.0 12.0   2.8     8    MM  MM 1019.6    MM   6.4    MM   MM -0.2    MM
2016 02 04 14 00 190 10.0 11.0   2.7     8    MM  MM 1019.7    MM   6.5    MM   MM -0.2    MM
2016 02 04 13 00 190 11.0 12.0   2.8     9    MM  MM 1019.7    MM   6.6    MM   MM -0.3    MM
2016 02 04 12 00 190 10.0 12.0   2.8     8    MM  MM 1019.8    MM   6.7    MM   MM -0.6    MM
2016 02 04 11 00 190 10.0 11.0   2.9     8    MM  MM 1019.9    MM   7.0    MM   MM -1.0    MM
2016 02 04 10 00 190 10.0 12.0   2.9     8    MM  MM 1020.0    MM   6.8    MM   MM -2.1    MM
2016 02 04 09 00 190 11.0 13.0   2.9     8    MM  MM 1020.4    MM   6.5    MM   MM -2.5    MM
2016 02 04 08 00 180 11.0 13.0   3.0     7    MM  MM 1020.9    MM   6.6    MM   MM -2.5    MM
2016 02 04 07 00 190 10.0 13.0   2.7     7    MM  MM 1022.1    MM   6.6    MM   MM -2.1    MM
2016 02 04 06 00 190  9.0 11.0   2.6     7    MM  MM 1022.9    MM   6.8    MM   MM -2.1    MM
2016 02 04 05 00 190  9.0 10.0   2.3     6    MM  MM 1023.4    MM   6.9    MM   MM -2.7    MM
2016 02 04 04 00 180  9.0 10.0   2.2     7    MM  MM 1024.2    MM   6.9    MM   MM -2.9    MM
2016 02 04 03 00 180 10.0 12.0   2.1     6    MM  MM 1025.0    MM   6.8    MM   MM -3.0    MM
2016 02 04 02 00 180 10.0 12.0   1.6     5    MM  MM 1026.1    MM   6.7    MM   MM -1.8    MM
2016 02 04 01 00 180  8.0 10.0   1.2     5    MM  MM 1027.1    MM   6.7    MM   MM -1.2    MM
2016 02 04 00 00 180  8.0  9.0   1.0     9    MM  MM 1028.0    MM   6.6    MM   MM -0.7    MM
2016 02 03 23 00 180  4.0  6.0   1.0    10    MM  MM 1027.9    MM   6.5    MM   MM -1.1    MM
2016 02 03 22 00 140  3.0  4.0   1.0     9    MM  MM 1028.3    MM   6.6    MM   MM -1.4    MM
2016 02 03 21 00 120  6.0  7.0   1.0     9    MM  MM 1028.7    MM   6.5    MM   MM -2.2    MM
2016 02 03 20 00 120  7.0  8.0   1.0     9    MM  MM 1029.0    MM   6.6    MM   MM -3.1    MM
2016 02 03 19 00 130  7.0  8.0   1.0     9    MM  MM 1029.7    MM   6.5    MM   MM -3.3    MM
2016 02 03 18 00 130  6.0  8.0   0.9     9    MM  MM 1030.9    MM   6.5    MM   MM -2.6    MM
2016 02 03 17 00 130  5.0  7.0   0.9     9    MM  MM 1032.1    MM   6.5    MM   MM -1.5    MM
2016 02 03 16 00 130  4.0  6.0   0.9    10    MM  MM 1033.0    MM   6.6    MM   MM -0.8    MM
2016 02 03 15 00 120  4.0  6.0   1.0    10    MM  MM 1033.5    MM   6.5    MM   MM +0.2    MM
2016 02 03 14 00 100  4.0  6.0   1.1     6    MM  MM 1033.6    MM   6.5    MM   MM +1.3    MM
2016 02 03 13 00  80  4.0  6.0   1.2     5    MM  MM 1033.8    MM   6.5    MM   MM +1.7    MM
2016 02 03 12 00  50  4.0  6.0   1.3     5    MM  MM 1033.3    MM   6.6    MM   MM +2.2    MM
2016 02 03 11 00  50  5.0  8.0   1.2     6    MM  MM 1032.3    MM   6.6    MM   MM +1.2    MM
2016 02 03 10 00  30  4.0  7.0   1.4     6    MM  MM 1032.1    MM   6.6    MM   MM +1.3    MM
2016 02 03 09 00  20  6.0  8.0   1.5     6    MM  MM 1031.1    MM   6.6    MM   MM +1.2    MM
2016 02 03 08 00   0  7.0  9.0   1.6     6    MM  MM 1031.1    MM   6.6    MM   MM +1.4    MM
2016 02 03 07 00  10  8.0 10.0   1.5     5    MM  MM 1030.8    MM   6.6    MM   MM +1.1    MM
2016 02 03 06 00   0  9.0 11.0   1.5     5    MM  MM 1029.9    MM   6.7    MM   MM +0.6    MM
2016 02 03 05 00 360  9.0 12.0   1.4     4    MM  MM 1029.7    MM   6.7    MM   MM +1.1    MM
2016 02 03 04 00 350  9.0 11.0   1.5     9    MM  MM 1029.7    MM   6.7    MM   MM +1.3    MM
2016 02 03 03 00 350  9.0 11.0   1.4     9    MM  MM 1029.3    MM   6.7    MM   MM +2.0    MM
2016 02 03 02 00 350  8.0  9.0   1.3     9    MM  MM 1028.6    MM   6.8    MM   MM +2.9    MM
2016 02 03 01 00 330  5.0  6.0   1.3     8    MM  MM 1028.4    MM   7.0    MM   MM +3.4    MM
2016 02 03 00 00 340  4.0  6.0   1.4    10    MM  MM 1027.3    MM   7.1    MM   MM +2.9    MM
2016 02 02 23 00   0  4.0  6.0   1.4     9    MM  MM 1025.7    MM   7.1    MM   MM +2.4    MM
2016 02 02 22 00 350  5.0  6.0   1.5     9    MM  MM 1025.0    MM   7.0    MM   MM +2.8    MM
2016 02 02 21 00 340  6.0  7.0   1.5    10    MM  MM 1024.4    MM   7.0    MM   MM +2.9    MM
2016 02 02 20 00 340  7.0   MM   1.7     8    MM  MM 1023.3    MM   7.0    MM   MM +1.8    MM
2016 02 02 19 00 340  8.0 10.0   1.9     9    MM  MM 1022.2    MM   7.0    MM   MM +1.2    MM
